"Name","Price","URL"
"iPhone 15 Chip (128 Gb)","US$1.006","https://articulo.mercadolibre.com.ec/MEC-576046152-iphone-15-chip-128-gb-_JM#polycard_client=search-nordic&position=26&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 14 Plus","US$2.400","https://articulo.mercadolibre.com.ec/MEC-575263674-iphone-14-plus-_JM#polycard_client=search-nordic&position=27&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Celulares","US$1.360","https://articulo.mercadolibre.com.ec/MEC-570973642-celulares-_JM#polycard_client=search-nordic&position=28&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 13 128gb Sellados Con Garantia 1 Año","US$659","https://articulo.mercadolibre.com.ec/MEC-566787642-iphone-13-128gb-sellados-con-garantia-1-ano-_JM#polycard_client=search-nordic&position=29&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 14 128gb Sellado Sim Físico Aceptamos Tarjetas","US$969","https://articulo.mercadolibre.com.ec/MEC-523582070-iphone-14-128gb-sellado-sim-fisico-aceptamos-tarjetas-_JM#polycard_client=search-nordic&position=30&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 11 (128 GB) - Blanco","US$459","https://www.mercadolibre.com.ec/apple-iphone-11-128-gb-blanco/p/MEC15149568#polycard_client=search-nordic&searchVariation=MEC15149568&position=5&search_layout=stack&type=product&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711&wid=MEC564876698&sid=search"
"Celular Apple iPhone 15 Dual Sim 128gb","US$974","https://articulo.mercadolibre.com.ec/MEC-573911740-celular-apple-iphone-15-dual-sim-128gb-_JM#polycard_client=search-nordic&position=31&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 15 Pro Max (256 Gb) - Titanio Negro","US$1.299","https://articulo.mercadolibre.com.ec/MEC-585295696-apple-iphone-15-pro-max-256-gb-titanio-negro-_JM#polycard_client=search-nordic&position=32&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Celular Apple iPhone 15 Dual Sim 256gb","US$1.104","https://articulo.mercadolibre.com.ec/MEC-573885998-celular-apple-iphone-15-dual-sim-256gb-_JM#polycard_client=search-nordic&position=33&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 15 (128 Gb) - Azul (sellado Original)","US$1.300","https://articulo.mercadolibre.com.ec/MEC-561029602-apple-iphone-15-128-gb-azul-sellado-original-_JM#polycard_client=search-nordic&position=34&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 13 (256 Gb) - Colores","US$832","https://articulo.mercadolibre.com.ec/MEC-575627966-apple-iphone-13-256-gb-colores-_JM#polycard_client=search-nordic&position=35&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 14 Pro Max 128gb Esim Open Box Aceptamos Tarjetas","US$990","https://articulo.mercadolibre.com.ec/MEC-533156586-iphone-14-pro-max-128gb-esim-open-box-aceptamos-tarjetas-_JM#polycard_client=search-nordic&position=36&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 15 Pro Max (1 Tb) - Titanio Negro","US$1.100","https://articulo.mercadolibre.com.ec/MEC-532107597-apple-iphone-15-pro-max-1-tb-titanio-negro-_JM#polycard_client=search-nordic&position=37&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 13 128gb Open Box Con Garantía Aceptamos Tarjetas","US$630","https://articulo.mercadolibre.com.ec/MEC-526123544-iphone-13-128gb-open-box-con-garantia-aceptamos-tarjetas-_JM#polycard_client=search-nordic&position=38&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 15 Pro (256 GB) - Titanio Azul","US$1.694","https://www.mercadolibre.com.ec/apple-iphone-15-pro-256-gb-titanio-azul/p/MEC27172712#polycard_client=search-nordic&searchVariation=MEC27172712&position=3&search_layout=stack&type=product&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711&wid=MEC571337572&sid=search"
"Apple iPhone 15 | 128 Gb | Negro | Entrega Inmediata","US$1.100","https://articulo.mercadolibre.com.ec/MEC-555802680-apple-iphone-15-128-gb-negro-entrega-inmediata-_JM#polycard_client=search-nordic&position=39&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 13 Pro Max 256gb Sellado Con Garantía Aceptamos Tarje","US$1.349","https://articulo.mercadolibre.com.ec/MEC-518544619-iphone-13-pro-max-256gb-sellado-con-garantia-aceptamos-tarje-_JM#polycard_client=search-nordic&position=40&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 15 Pro (256 Gb) - Titanio Azul","US$1.350","https://articulo.mercadolibre.com.ec/MEC-572273814-apple-iphone-15-pro-256-gb-titanio-azul-_JM#polycard_client=search-nordic&position=41&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Celular Apple iPhone 15 Pro Max Dual Sim 256gb","US$1.589","https://articulo.mercadolibre.com.ec/MEC-573911728-celular-apple-iphone-15-pro-max-dual-sim-256gb-_JM#polycard_client=search-nordic&position=42&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Destornilladores P/ Apple iPhone Fits Macbook Air-pro","US$59","https://articulo.mercadolibre.com.ec/MEC-516757325-destornilladores-p-apple-iphone-fits-macbook-air-pro-_JM#polycard_client=search-nordic&position=43&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 14 (128 Gb) - Blanco Estelar","US$625","https://articulo.mercadolibre.com.ec/MEC-581841312-apple-iphone-14-128-gb-blanco-estelar-_JM#polycard_client=search-nordic&position=44&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 15 128gb Sellado Con Garantia Somos Ebuy.uio","US$988","https://articulo.mercadolibre.com.ec/MEC-556270556-iphone-15-128gb-sellado-con-garantia-somos-ebuyuio-_JM#polycard_client=search-nordic&position=45&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 11 (64 Gb) - Negro_","US$390","https://articulo.mercadolibre.com.ec/MEC-587912770-apple-iphone-11-64-gb-negro-_JM#polycard_client=search-nordic&position=46&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Estuche Carcasa Case De Calavera Pirata iPhone 4 4s Skpalace","US$4","https://articulo.mercadolibre.com.ec/MEC-519689211-estuche-carcasa-case-de-calavera-pirata-iphone-4-4s-skpalace-_JM#polycard_client=search-nordic&position=47&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Estuche Carcasa Case De Calavera Para iPhone 4 4s Skpalace","US$4","https://articulo.mercadolibre.com.ec/MEC-517909160-estuche-carcasa-case-de-calavera-para-iphone-4-4s-skpalace-_JM#polycard_client=search-nordic&position=48&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 11 10/10","US$320","https://articulo.mercadolibre.com.ec/MEC-584631366-iphone-11-1010-_JM#polycard_client=search-nordic&position=49&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"Apple iPhone 13 Pro Max (256 Gb)","US$1.031","https://articulo.mercadolibre.com.ec/MEC-575961422-apple-iphone-13-pro-max-256-gb-_JM#polycard_client=search-nordic&position=50&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 12 Pro 256gb  Liberado","US$599","https://articulo.mercadolibre.com.ec/MEC-585249508-iphone-12-pro-256gb-liberado-_JM#polycard_client=search-nordic&position=51&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
"iPhone 13 128gb Sellado Aceptamos Tarjeta De Crédito","US$719","https://articulo.mercadolibre.com.ec/MEC-518637124-iphone-13-128gb-sellado-aceptamos-tarjeta-de-credito-_JM#polycard_client=search-nordic&position=52&search_layout=stack&type=item&tracking_id=4a928b42-8927-4a0f-9a50-3bef2a676711"
